Year,U.S.,Brazil,European Union,Rest of the World
2002,139.61,217.00,5.00,16.42
2003,182.94,249.00,6.70,26.52
2004,221.47,252.00,7.99,29.60
2005,254.69,276.00,14.52,39.72
2006,318.40,271.63,27.12,65.17
2007,425.10,337.31,31.00,72.95
2008,606.82,406.10,45.90,99.16
2009,713.02,382.32,56.73,98.81
2010,866.87,422.19,64.28,105.86
2011,908.02,348.07,65.50,124.38
2012,861.66,357.14,68.69,134.26
2013,866.53,419.79,73.58,153.18
2014,933.03,440.60,66.85,170.02
2015,965.26,469.24,69.49,169.14
2016,1004.76,439.93,68.45,173.00
2017,1038.86,433.45,69.17,187.29
2018,1048.94,520.64,72.35,204.17
2019,1028.54,592.52,72.22,238.56
2020,907.81,532.08,69.94,228.04
2021,956.96,451.10,73.51,253.72
2022,993.47,475.30,75.48,283.60
