States,NAME,State RPS,State Goal,Clean Energy Standard,Clean Energy Goal
01,"Alabama",,,,,
02,"Alaska",,,,,
04,"Arizona",Yes,,,,
05,"Arkansas",,,,,
06,"California",Yes,Yes,,,
08,"Colorado",Yes,,Yes,,
09,"Connecticut",Yes,,Yes,,
11,"Washington DC",Yes,,,,
10,"Delaware",Yes,Yes,,,
12,"Florida",,,,,
13,"Georgia",,,,,
15,"Hawaii",Yes,,,,
16,"Idaho",,,,,
17,"Illinois",Yes,,Yes,,
18,"Indiana",,Yes,,,
19,"Iowa",Yes,,,,
20,"Kansas",,Yes,,,
21,"Kentucky",,,,,
22,"Louisiana",,,,Yes
23,"Maine",Yes,,,,
24,"Maryland",Yes,Yes,,,
25,"Massachusetts",Yes,Yes,,,
26,"Michigan",Yes,Yes,,,
27,"Minnesota",Yes,Yes,,,
28,"Mississippi",,,,,
29,"Missouri",Yes,,,,
30,"Montana",,,,,
31,"Nebraska",,,,,
32,"Nevada",Yes,,Yes,,
33,"New Hampshire",Yes,,,,
34,"New Jersey",Yes,,Yes,,
35,"New Mexico",Yes,Yes,,,
36,"New York",Yes,Yes,,,
37,"North Carolina",Yes,Yes,,,
38,"North Dakota",,Yes,,,
39,"Ohio",Yes,,,,
40,"Oklahoma",,Yes,,,
41,"Oregon",Yes,Yes,,,
42,"Pennsylvania",Yes,,,,
44,"Rhode Island",Yes,,,,
45,"South Carolina",,Yes,,,
46,"South Dakota",,Yes,,,
47,"Tennessee",,,,,
48,"Texas",,,,,
49,"Utah",,Yes,,,
50,"Vermont",Yes,,,,
51,"Virginia",Yes,,,,
53,"Washington",Yes,Yes,,,
54,"West Virginia",,,,,
55,"Wisconsin",Yes,,Yes,,
56,"Wyoming",,,,,
60,"American Samoa",,,,,
11,"District of Columbia",,,,,
64,"Federated States of Micronesia",,,,,
66,"Guam",Yes,,,,
68,"Marshall Islands",,,,,
69,"Northern Mariana Islands",,,,,
69,"Northern Mariana Islands",Yes,,,,
70,"Palau",,,,,
72,"Puerto Rico",Yes,,,,
78,"Virgin Islands",Yes,,,,
