Year,Nuclear,Gas Peaking,Coal,Geothermal,Gas Combined Cycle,Solar PV-Utility,Wind-Onshore
2009,123,275,111,76,83,359,135
2010,107,243,111,107,96,248,124
2011,95,227,111,104,95,157,83
2012,96,216,102,116,75,125,72
2013,104,205,105,116,74,98,70
2014,112,205,112,116,74,79,59
2015,117,192,108,100,65,64,55
2016,117,191,102,98,63,55,47
2017,148,183,102,97,60,50,45
2018,151,179,102,91,58,43,42
2019,155,175,109,91,56,40,41
2020,163,175,112,80,59,37,40
2021,167,173,108,75,60,36,38
2022,,,,,,,
2023,180,168,117,82,70,60,50
2024,182,169,118,85,76,61,50
