Year,U.S.,Brazil,European Union,India,Indonesia
2001,0.56,0.00,20.44,0.00,0.00
2002,0.68,0.00,26.45,0.00,0.00
2003,0.93,0.00,31.80,0.00,0.00
2004,1.83,0.00,39.55,0.00,0.00
2005,5.91,0.00,55.73,0.20,0.00
2006,15.87,1.19,76.29,0.00,1.21
2007,32.57,6.96,105.91,0.00,4.65
2008,50.89,20.10,136.51,0.00,10.85
2009,34.96,27.71,177.86,1.29,5.68
2010,20.23,41.10,195.00,1.72,13.43
2011,63.09,46.03,183.52,1.91,31.20
2012,67.34,48.22,182.32,2.17,39.09
2013,94.52,50.54,190.68,2.27,50.80
2014,92.96,59.07,224.03,2.38,60.27
2015,94.07,69.23,217.24,2.62,20.67
2016,116.69,65.46,208.73,2.72,60.27
2017,120.86,74.22,231.45,2.93,48.22
2018,140.97,93.17,243.84,3.19,96.44
2019,145.90,102.03,263.16,3.96,132.60
2020,154.89,111.94,254.35,3.44,146.38
2021,171.88,118.31,261.83,3.10,164.46
2022,212.86,116.50,257.20,3.19,187.71
