FIPS,amount
02,777.1
32,368.31
48,251.44
22,131.91
18,120.12
39,88.36
01,85.77
47,74.59
49,181.9
29,59.19
17,59.78
38,56.9
21,56.79
28,55.68
42,56.49
26,53.38
37,53.87
30,52.52
04,62.61
16,42.84
13,45.42
12,47.68
06,41.87
45,40.2
51,30.19
19,33.2
05,35.24
20,26.93
27,22.64
35,21.59
08,20.35
54,22.11
41,19.77
56,19.08
31,16.94
36,15.95
53,15.24
24,5.63
10,6.74
23,7.31
34,10.98
15,2.58
25,3.76
33,0.4
44,0.387
50,0.385
09,1.58
46,8.61
55,25.45
11,0.013
40,34.89
