Year,Biomass,Wind,Solar,Hydroelectric,Geothermal
1984,2.97112,0.000022,0.000018,1.10655,0.026411
1985,3.016233,0.00002,0.000036,0.970068,0.031818
1986,2.932095,0.000014,0.000048,1.003146,0.035171
1987,2.874884,0.000012,0.000036,0.862745,0.036766
1988,3.016049,0.000003,0.000031,0.771456,0.035144
1989,3.159357,0.007206,0.052495,0.927985,0.059093
1990,2.735112,0.009515,0.055962,0.999258,0.062862
1991,2.781797,0.010069,0.05804,0.986048,0.065478
1992,2.931678,0.009852,0.059819,0.863536,0.066863
1993,2.908172,0.010256,0.061682,0.957046,0.069883
1994,3.027534,0.011762,0.06341,0.887549,0.066207
1995,3.101142,0.010796,0.064396,1.060561,0.059747
1996,3.156806,0.011035,0.065052,1.184517,0.064089
1997,3.10522,0.011219,0.064172,1.216219,0.066545
1998,2.92749,0.010324,0.063455,1.103221,0.068209
1999,2.96329,0.015313,0.06201,1.090257,0.06989
2000,3.008227,0.019084,0.059349,0.940254,0.068686
2001,2.622356,0.022988,0.056968,0.740271,0.069363
2002,2.700621,0.035329,0.055128,0.90189,0.073188
2003,2.806471,0.038172,0.05357,0.941051,0.076615
2004,3.008073,0.048258,0.053021,0.91584,0.080335
2005,3.11393,0.06077,0.051939,0.922336,0.083928
2006,3.26214,0.090722,0.054095,0.986909,0.086406
2007,3.484824,0.117543,0.056946,0.844504,0.091042
2008,3.851392,0.188899,0.061096,0.869485,0.096834
2009,3.940009,0.252099,0.062525,0.932995,0.10491
2010,4.505629,0.322953,0.067853,0.887813,0.111428
2011,4.616493,0.410043,0.076126,1.089639,0.115758
2012,4.516951,0.480484,0.093797,0.942532,0.116599
2013,4.861035,0.572669,0.11965,0.916345,0.117323
2014,5.015522,0.619808,0.16105,0.884959,0.117672
2015,5.014887,0.650732,0.196175,0.849861,0.117811
2016,5.063054,0.774499,0.250888,0.913775,0.117498
2017,5.044598,0.867681,0.328623,1.024736,0.117842
2018,5.104513,0.930341,0.383634,0.998092,0.11798
2019,5.056,1.009551,0.429747,0.982225,0.116293
2020,4.54513,1.153045,0.511315,0.973355,0.117716
2021,4.75055,1.290407,0.626863,0.858407,0.118007
2022,4.856665,1.481823,0.76458,0.869339,0.118389
2023,4.978079,1.450903,0.87754,0.818384,0.119668
