Year,Cars and Wagons,SUVs,Vans,Pickups
1975,80.6,1.80,4.5,13.1
1976,78.8,2.00,4.1,15.1
1977,80.0,2.00,3.6,14.3
1978,77.3,2.60,4.3,15.7
1979,77.8,2.90,3.5,15.9
1980,83.5,1.60,2.1,12.7
1981,82.7,1.30,2.3,13.6
1982,80.3,1.60,3.2,14.8
1983,77.7,2.80,3.7,15.8
1984,76.1,4.50,4.8,14.6
1985,74.6,5.10,5.9,14.4
1986,71.7,5.00,6.8,16.5
1987,72.2,5.80,7.5,14.4
1988,70.2,6.30,7.4,16.1
1989,69.3,6.40,8.8,15.4
1990,69.8,5.60,10.0,14.5
1991,67.8,8.70,8.2,15.3
1992,66.6,8.20,10.0,15.1
1993,64.0,9.90,10.9,15.2
1994,59.6,11.40,10.0,18.9
1995,62.0,12.00,11.0,15.0
1996,60.0,14.40,10.7,14.9
1997,57.6,17.00,8.8,16.7
1998,55.1,17.80,10.3,16.7
1999,55.1,18.60,9.6,16.7
2000,55.1,18.90,10.2,15.8
2001,53.9,22.10,7.9,16.1
2002,51.5,26.00,7.7,14.8
2003,50.2,26.20,7.8,15.7
2004,48.0,30.00,6.1,15.9
2005,50.5,25.70,9.3,14.5
2006,52.9,24.90,7.7,14.5
2007,52.9,27.70,5.5,13.8
2008,52.7,28.70,5.7,12.9
2009,60.5,24.90,4.0,10.6
2010,54.5,28.90,5.0,11.5
2011,47.8,35.50,4.3,12.3
2012,55.0,30.00,4.9,10.1
2013,54.1,31.80,3.8,10.4
2014,49.2,34.00,4.3,12.4
2015,47.2,38.30,3.9,10.7
2016,43.8,40.60,3.90,11.70
2017,41.0,43.30,3.60,12.10
2018,36.7,46.40,3.10,13.90
2019,32.7,48.20,3.40,15.60
2020,30.9,51.70,2.90,14.40
2021,25.7,56.05,2.16,16.11
2022,26.5,54.20,2.90,16.40
