Year,Annual Additions,Cumulative Capacity
2000,33.7,1272.5
2001,1436.4,1306.2
2002,657.6,2742.6
2003,1539.1,3400.2
2004,366.2,4939.3
2005,2146.5,5305.5
2006,2633.4,7452
2007,5259.4,10085.4
2008,8419.8,15344.8
2009,9987,23764.6
2010,4822.6,33751.6
2011,6869.1,38574.2
2012,13166.4,45443.3
2013,864.4,58609.7
2014,4955.2,59474.1
2015,8242.6,64429.3
2016,8787.8,72671.9
2017,6008.6,81459.7
2018,6878.1,87468.3
2019,9328.9,94346.4
2020,14679.5,103675.3
2021,14499.8,118354.8
2022,9103.6,132854.6
2023,6485.9,141958.2
