Country/area,GDP per capita (current US$),Cummulative emissions per capita (t),Climate vulnability
Albania,6810.11,107.60,16.95
Algeria,4342.64,113.06,34.61
Andorra,41992.77,196.58,2.37
Angola,3000.44,19.08,51.44
Antigua and Barbuda,19919.73,271.32,10.26
Argentina,13650.60,190.65,19.18
Armenia,7018.05,140.17,29.68
Australia,65099.85,741.57,14.87
Austria,52084.68,623.23,7.75
Azerbaijan,7762.07,250.42,19.02
"Bahamas, The",31458.30,422.41,15.1
Bahrain,30146.93,686.94,5.42
Bangladesh,2688.31,10.34,44.93
Barbados,20238.78,248.83,13.87
Belarus,7888.26,549.55,11.14
Belgium,49926.83,1089.78,18.49
Belize,6984.22,50.76,23.14
Benin,1302.85,9.70,28.56
Bolivia,3600.12,47.65,25.3
Bosnia and Herzegovina,7568.80,309.96,20.28
Botswana,7738.88,61.92,20.12
Brazil,8917.67,79.78,28.47
Brunei Darussalam,37152.48,893.99,5.12
Bulgaria,13974.45,605.82,19.15
Burkina Faso,830.04,3.56,57.64
Burundi,259.03,1.13,57.38
Cambodia,1759.61,12.35,27.18
Cameroon,1563.49,10.39,59.74
Canada,55522.45,889.12,14.2
Cabo Verde,3754.30,26.08,20.05
Central African Republic,427.06,2.11,70.67
Chad,716.80,2.54,70.25
Chile,15355.48,157.42,15.37
China,12720.22,184.55,11.37
Colombia,6624.17,70.09,44.93
Comoros,1484.89,7.48,22.51
"Congo, Rep.",2649.23,28.85,48.18
Costa Rica,13365.36,51.69,15.76
Cote d'Ivoire,2486.41,13.01,26.59
Croatia,18570.40,297.35,14.48
Cyprus,32048.24,245.55,12.43
Czechia,27226.62,1140.86,12.49
"Congo, Dem. Rep.",653.66,2.25,69.11
Denmark,67790.05,701.70,5.42
Djibouti,3136.11,17.80,26.85
Dominica,8351.19,70.64,11.49
Dominican Republic,10111.25,70.51,23.68
Timor-Leste,2389.30,8.10,20.71
Ecuador,6391.28,72.19,38.15
"Egypt, Arab Rep.",4295.41,62.88,29.38
El Salvador,5127.32,39.14,28.75
Equatorial Guinea,7182.27,86.04,13.2
Estonia,28247.10,1226.71,7.87
Eswatini,3986.89,36.06,27.66
Ethiopia,1027.59,2.43,65.44
Fiji,5356.16,54.70,14.74
